Társasjáték neve;Társasjáték ID;Az alapjáték, ha kiegészítő lenne;Az alapjáték iD-ja;A Játék nyelve;A játék nyelvüggetlen;Van hozzá magyar szabály;Minimális játékosszám;Maximális játékosszám;Kiadás éve;Kiadó;Megjegyzés;Szerző
A Feast for Odin;001;;;angol;nem;igen;1;4;;;;Uwe Rosenberg
A Feast for Odin: The Norwegians;002;A Feast for Odin;001;angol;nem;igen;1;4;;;;
A Gyűrűk Ura – A Szövetség útja;003;;;magyar;nem;igen;1;5;;Gémklub;;Matt Leacock
A Gyűrűk Ura – A Szövetség útja : Fehér Gandalf;004;A Gyűrűk Ura – A Szövetség útja;003;angol;nem;nem;1;5;;;;
A Nyugati királyság építőmesterei;005;;;magyar;igen;igen;1;5;;;;
A nyugati királyság építőmesterei: A kézművesek kora;006;A Nyugati királyság építőmesterei;005;magyar;igen;igen;1;6;;;;
A Nyugati királyság építőmesterei: Mesterművek kiegészítő;007;A Nyugati királyság építőmesterei;005;magyar;igen;igen;1;5;;;;
A vörös katedrális;008;;;magyar;igen;igen;1;4;;;;
Alhambra;009;;;magyar;igen;igen;2;6;;;;
Atlantis;010;;;magyar;igen;igen;2;4;;;;
Axio;011;;;magyar;igen;igen;1;4;;;;
Az Ezüst-tó kincse;012;;;magyar;igen;igen;2;6;2016;;;
Azul;013;;;magyar;igen;igen;2;4;;;;
Bandido;014;;;magyar;igen;igen;1;4;;;Hiányos?;
Beans Boom BANG!;015;;;német;nem;nem;3;4;2021;;;
Blood Rage;016;;;magyar;nem;igen;2;4;;;;
Blood Rage: 5. játéos kiegészítő;017;Blood Rage;016;magyar;nem;igen;2;5;;;;
Blood Rage: Asgard istenei;018;Blood Rage;016;magyar;nem;igen;2;5;;;;
Blood Rage: Midgard sámánjai;019;Blood Rage;016;magyar;nem;igen;2;5;;;;
Carcassonne: Jubileumi kiadás;020;;;magyar;igen;igen;2;5;;;;
Carpe Diem;021;;;angol;igen;nem;2;4;;;;
Cat Lady;022;;;magyar;igen;igen;2;4;;Reflexshop;;Josh Wood
Cat Lady – Boldogságdoboz;023;Cat Lady;022;magyar;igen;igen;1;6;;Reflexshop;;Josh Wood
Celtica;024;;;német;igen;igen;2;5;;;;
Cicaharc: Állati csetepaté;025;;;magyar;igen;igen;2;6;;;;
Cryptid;026;;;magyar;nem;igen;3;5;;;;
Dorfromantik: A társasjáték;027;;;magyar;nem;igen;1;3;;;;
Eldorádó legendája;028;;;magyar;igen;igen;2;4;;;;
Eldorádó legendája: A tűzokádók völgye;029;Eldorádó legendája;028;magyar;igen;igen;2;4;;;;
Eldorádó legendája: Hősök és átkok;030;Eldorádó legendája;028;magyar;igen;igen;2;4;;;;
Eldorádó legendája: Veszély a láthatáron;031;Eldorádó legendája;028;magyar;igen;igen;2;4;;;;
Elveszett kincsek tengere;032;;;magyar;igen;igen;2;4;;;;
Elvetemült veteményes – Articsókák a pácban;033;;;magyar;igen;igen;2;4;;Reflexshop;;Emma Larkins
Explorers of the North Sea;034;;;angol;nem;igen;1;4;;;;
Explorers of the North Sea: Rocks of Ruin;035;Explorers of the North Sea;034;angol;nem;igen;1;5;;;;
Fa Domino;036;;;magyar;igen;igen;1;4;;Jumbo;;
FITS;037;;;német;igen;igen;1;4;;;;
Gäia;038;;;német;igen;igen;2;5;;;;
Ganz Schön Clever – Egy okos húzás;039;;;magyar;igen;igen;1;4;;Schmidt;;Wolfgang Warsch
Gyémántvadászok;040;;;magyar;igen;igen;3;8;;;;
Gyümi;041;;;magyar;igen;igen;1;6;;Vagabund;;
Hadrianus Fala;042;;;magyar;nem;igen;1;6;;;;
Harry Potter: A halálfalók felemelkedése;043;;;magyar;igen;igen;2;4;;;;
Harry Potter: Roxforti Csata;044;;;magyar;nem;igen;2;4;;;;
Harry Potter: Roxforti Csata – Bűbájok és Bájitalok;045;Harry Potter: Roxforti Csata;044;magyar;nem;igen;2;5;;;;
Harry Potter: Roxforti Csata – Szörnyek szörnyű könyve;046;Harry Potter: Roxforti Csata;044;magyar;nem;igen;2;4;;;;
ICECOOL2;047;;;angol;igen;igen;2;4;;;;
Ide a szfinxet;048;;;magyar;nem;igen;2;6;;Novoplast;;
Indián nyár;049;;;magyar;igen;igen;1;4;;;;
Jungle Speed;050;;;magyar;igen;igen;2;10;;;;
Kapocsváros;051;;;magyar;igen;igen;2;6;;;;
Kartográfusok;052;;;magyar;igen;igen;1;100;;;;
Kartográfusok: A felfedezések kora térképcsomag;053;Kartográfusok;052;magyar;igen;igen;1;100;;;;
Kartográfusok: Affril térképcsomag – A tudás síkja;054;Kartográfusok;052;magyar;igen;igen;1;100;;;;
Kartográfusok: Fagyvidék térképcsomag – A fagyóriások birodalma;055;Kartográfusok;052;magyar;igen;igen;1;100;;;;
Kartográfusok: Földmélye térképcsomag – Sabek járatai;056;Kartográfusok;052;magyar;igen;igen;1;100;;;;
Kartográfusok: Hősök;057;;;magyar;igen;igen;1;100;;;;
Kartográfusok: Kethra sztyeppéje térképcsomag – Rőtagyar & Aranybendő;058;Kartográfusok;052;magyar;igen;igen;1;100;;;;
Kartográfusok: Kürtszurdok térképcsomag - A pusztaság piaca;059;Kartográfusok;052;magyar;igen;igen;1;100;;;;
Kartográfusok: Nebblis térképcsomag – A láng síkja;060;Kartográfusok;052;magyar;igen;igen;1;100;;;;
Királyi áru: Big Box;061;;;magyar;igen;igen;1;4;;;;
Klask;062;;;magyar;igen;igen;2;2;;Reflexshop;;
Kockanári;063;;;magyar;igen;igen;2;5;;Reflexshop;;
Kubb;064;;;angol;igen;igen;2;10;;Bex;;
KuZOOkA;065;;;angol;nem;igen;2;6;;;;
Labyrinth: Das verrückte Labyrinth;066;;;német;igen;igen;2;4;;;;
Liget;067;;;magyar;igen;igen;1;1;;;;
Macska Mancs Brancs;068;;;magyar;igen;igen;1;+;;;;
Macskafogó;069;;;magyar;igen;igen;2;4;;Novoplast;;
Magyar népmesék – A kártyajáték;070;;;magyar;igen;igen;2;8;;;;Lenhard Balázs
Magyar népmesék: A társasjáték;071;;;magyar;nem;igen;2;6;;;;
Magyar népmesék: Hetedhét mese;072;Magyar népmesék: A társasjáték;071;magyar;nem;igen;2;6;;;;
Mandala kövek;073;;;magyar;igen;igen;2;4;;;;
Második esély;074;;;magyar;igen;igen;1;6;;compaya.hu;;Uwe Rosenberg
Menara;075;;;angol;igen;igen;1;4;;;;
Menara: Rituals & Ruins;076;;;angol;igen;igen;1;4;;;;
Mesebeli Birodalmak;077;;;magyar;nem;igen;2;6;;;;
Mikádó;078;;;magyar;igen;igen;1;4;;;;
Mölkky;079;;;magyar;igen;igen;1;100;;Tactic;;
Munchkin;080;;;magyar;nem;igen;3;6;2022;Delta Vision;Nyolcadik kiadás;
My City – Roll & Build;081;;;angol;nem;nem;1;6;;Kosmos;;Reiner Knizia
Nemeton;082;;;német;igen;igen;2;4;;;;
Nova Luna;083;;;angol;igen;igen;1;4;;;;
Okanagan: Valley of the Lakes;084;;;angol;igen;igen;2;4;;;;
Osztályharc: Az 1917-es forradalmak;085;;;magyar;igen;igen;1;2;;;;
Pagony;086;;;magyar;igen;igen;1;1;;;;
Patchwork Doodle;087;;;angol;igen;igen;1;6;;LookOut Games;;Uwe Rosenberg
Patchwork: 10 éves jubileumi kiadás;088;;;magyar;igen;igen;1;2;;;;
Police 07;089;;;magyar;igen;igen;3;6;1986;Novoplast;;
Police 07 Reloade -Second edition;090;;;magyar;igen;igen;3;6;2015;;;
Race to the North Pole;091;;;angol;igen;igen;2;4;;;;
Raiders of the North Sea;092;;;angol;nem;igen;2;4;;;;
Raiders of the North Sea: Hall of Heroes;093;Raiders of the North Sea;092;angol;nem;igen;2;5;;;;
Ramses II.;094;;;német;igen;igen;2;5;1997;;;
Remény Hadművelet;095;;;magyar;igen;igen;2;5;;Reflexshop;;
Schweinsgalopp;096;;;német;igen;igen;2;5;;;;
Star Wars: Lázadás;097;;;magyar;nem;igen;2;4;;;;
