tarsasjatekNev;tarsasjatekID;alapjatek;alapjatekNev;alapjatekID;jatekNyelv;nyelvfuggetlen;magyarJatekszabaly;minJatekos;maxJatekos;kiadasEv;kiado;megjegyzes;szerzo
A Feast for Odin;001;igen;;;angol;nem;igen;1;4;;;;Uwe Rosenberg
A Feast for Odin: The Norwegians;002;nem;A Feast for Odin;001;angol;nem;igen;1;4;;;;
A Gyűrűk Ura – A Gyűrű szövetsége;003;igen;;;magyar;nem;igen;1;4;2025;Gémklub;;
A Gyűrűk Ura – A Szövetség útja;004;igen;;;magyar;nem;igen;1;5;;Gémklub;;Matt Leacock
A Gyűrűk Ura – A Szövetség útja : Fehér Gandalf;005;nem;A Gyűrűk Ura – A Szövetség útja;004;angol;nem;nem;1;5;;;;
A Nyugati királyság építőmesterei;006;igen;;;magyar;igen;igen;1;5;;;;
A nyugati királyság építőmesterei: A kézművesek kora;007;nem;A Nyugati királyság építőmesterei;006;magyar;igen;igen;1;6;;;;
A Nyugati királyság építőmesterei: Mesterművek kiegészítő;008;nem;A Nyugati királyság építőmesterei;006;magyar;igen;igen;1;5;;;;
A vörös katedrális;009;igen;;;magyar;igen;igen;1;4;;;;
Alhambra;010;igen;;;magyar;igen;igen;2;6;;;;
Atlantis;011;igen;;;magyar;igen;igen;2;4;;;;
Axio;012;igen;;;magyar;igen;igen;1;4;;;;
Az Erdő;013;igen;;;magyar;nem;igen;2;5;2023;Gémklub;;
Az Erdő: Alpok;014;nem;Az Erdő;013;magyar;nem;igen;2;5;;Gémklub;;
Az Erdő: Cserjék;015;nem;Az Erdő;013;magyar;nem;igen;2;5;;Gémklub;;
Az Erdő: Felfedezés;016;nem;Az Erdő;013;magyar;nem;igen;1;5;;Gémklub;;
Az Ezüst-tó kincse;017;igen;;;magyar;igen;igen;2;6;2016;;;
Azul;018;igen;;;magyar;igen;igen;2;4;;;;
Bandido;019;igen;;;magyar;igen;igen;1;4;;;Hiányos?;
Beans Boom BANG!;020;igen;;;német;nem;nem;3;4;2021;;;
Blood Rage;021;igen;;;magyar;nem;igen;2;4;;;;
Blood Rage: 5. játékos kiegészítő;022;nem;Blood Rage;021;magyar;nem;igen;2;5;;;;
Blood Rage: Asgard istenei;023;nem;Blood Rage;021;magyar;nem;igen;2;5;;;;
Blood Rage: Midgard sámánjai;024;nem;Blood Rage;021;magyar;nem;igen;2;5;;;;
Carcassonne: Jubileumi kiadás;025;igen;;;magyar;igen;igen;2;5;;;;
Carpe Diem;026;igen;;;angol;igen;nem;2;4;;;;
Cat Lady;027;igen;;;magyar;igen;igen;2;4;;Reflexshop;;Josh Wood
Cat Lady – Boldogságdoboz;028;nem;Cat Lady;027;magyar;igen;igen;1;6;;Reflexshop;;Josh Wood
Celtica;029;igen;;;német;igen;igen;2;5;;;;
Cicaharc: Állati csetepaté;030;igen;;;magyar;igen;igen;2;6;;;;
Claim Anniversary Edition;031;igen;;;angol;igen;igen;2;4;;;;
Claim Erősítés - Jég;032;nem;Claim Anniversary Edition;031;magyar;igen;igen;2;;;;;
Claim Erősítés – Félelem;033;nem;Claim Anniversary Edition;031;magyar;igen;igen;2;;;;;
