tarsasjatekNev;tarsasjatekID;alapjatekNev;alapjatekID;jatekNyelv;nyelvfuggetlen;magyarJatekszabaly;minJatekos;maxJatekos;kiadasEv;kiado;megjegyzes;szerzo
A Feast for Odin;002;;;angol;nem;igen;1;4;;;;Uwe Rosenberg
A Feast for Odin: The Norwegians;003;A Feast for Odin;002;angol;nem;igen;1;4;;;;
A Gyűrűk Ura – A Gyűrű szövetsége;004;;;magyar;nem;igen;1;4;2025;Gémklub;;
A Gyűrűk Ura – A Szövetség útja;005;;;magyar;nem;igen;1;5;;Gémklub;;Matt Leacock
A Gyűrűk Ura – A Szövetség útja : Fehér Gandalf;006;A Gyűrűk Ura – A Szövetség útja;005;angol;nem;nem;1;5;;;;
A Nyugati királyság építőmesterei;007;;;magyar;igen;igen;1;5;;;;
A nyugati királyság építőmesterei: A kézművesek kora;008;A Nyugati királyság építőmesterei;007;magyar;igen;igen;1;6;;;;
A Nyugati királyság építőmesterei: Mesterművek kiegészítő;009;A Nyugati királyság építőmesterei;007;magyar;igen;igen;1;5;;;;
A vörös katedrális;010;;;magyar;igen;igen;1;4;;;;
Alhambra;011;;;magyar;igen;igen;2;6;;;;
Atlantis;012;;;magyar;igen;igen;2;4;;;;
Axio;013;;;magyar;igen;igen;1;4;;;;
Az Erdő;014;;;magyar;nem;igen;2;5;2023;Gémklub;;
Az Erdő: Alpok;015;Az Erdő;014;magyar;nem;igen;2;5;;Gémklub;;
Az Erdő: Cserjék;016;Az Erdő;014;magyar;nem;igen;2;5;;Gémklub;;
Az Erdő: Felfedezés;017;Az Erdő;014;magyar;nem;igen;1;5;;Gémklub;;
Az Ezüst-tó kincse;018;;;magyar;igen;igen;2;6;2016;;;
Azul;019;;;magyar;igen;igen;2;4;;;;
Bandido;020;;;magyar;igen;igen;1;4;;;Hiányos?;
Beans Boom BANG!;021;;;német;nem;nem;3;4;2021;;;
Blood Rage;022;;;magyar;nem;igen;2;4;;;;
Blood Rage: 5. játéos kiegészítő;023;Blood Rage;022;magyar;nem;igen;2;5;;;;
Blood Rage: Asgard istenei;024;Blood Rage;022;magyar;nem;igen;2;5;;;;
Blood Rage: Midgard sámánjai;025;Blood Rage;022;magyar;nem;igen;2;5;;;;
Carcassonne: Jubileumi kiadás;026;;;magyar;igen;igen;2;5;;;;
Carpe Diem;027;;;angol;igen;nem;2;4;;;;
Cat Lady;028;;;magyar;igen;igen;2;4;;Reflexshop;;Josh Wood
Cat Lady – Boldogságdoboz;029;Cat Lady;028;magyar;igen;igen;1;6;;Reflexshop;;Josh Wood
Celtica;030;;;német;igen;igen;2;5;;;;
Cicaharc: Állati csetepaté;031;;;magyar;igen;igen;2;6;;;;
Claim Anniversary Edition;032;;;angol;igen;igen;2;4;;;;
Claim Erősítés - Jég;033;Claim Anniversary Edition;032;magyar;igen;igen;2;;;;;
Claim Erősítés – Félelem;034;Claim Anniversary Edition;032;magyar;igen;igen;2;;;;;
Codex Naturalis;035;;;angol;igen;nem;2;4;;;;
Cryptid;036;;;magyar;nem;igen;3;5;;;;
Dorfromantik: A társasjáték;037;;;magyar;nem;igen;1;3;;;;
Dr. Gomb;038;;;magyar;igen;igen;2;5;;Vagabund;;
Ein lustiges Wettspiel;039;;;német;igen;nem;2;6;;;;
Eldorádó legendája;040;;;magyar;igen;igen;2;4;;;;
Eldorádó legendája: A tűzokádók völgye;041;Eldorádó legendája;040;magyar;igen;igen;2;4;;;;
Eldorádó legendája: Hősök és átkok;042;Eldorádó legendája;040;magyar;igen;igen;2;4;;;;
Eldorádó legendája: Veszély a láthatáron;043;Eldorádó legendája;040;magyar;igen;igen;2;4;;;;
Elveszett kincsek tengere;044;;;magyar;igen;igen;2;4;;;;
Elvetemült veteményes – Articsókák a pácban;045;;;magyar;igen;igen;2;4;;Reflexshop;;Emma Larkins
Explorers of the North Sea;046;;;angol;nem;igen;1;4;;;;
Explorers of the North Sea: Rocks of Ruin;047;Explorers of the North Sea;046;angol;nem;igen;1;5;;;;
Fa Domino;048;;;magyar;igen;igen;1;4;;Jumbo;;
FITS;049;;;német;igen;igen;1;4;;;;
Gäia;050;;;német;igen;igen;2;5;;;;
Ganz Schön Clever – Egy okos húzás;051;;;magyar;igen;igen;1;4;;Schmidt;;Wolfgang Warsch
Grillparti;052;;;magyar;igen;igen;2;6;;Reflexshop;;
Gyémántvadászok;053;;;magyar;igen;igen;3;8;;;;
Gyümi;054;;;magyar;igen;igen;1;6;;Vagabund;;
Hadrianus Fala;055;;;magyar;nem;igen;1;6;;;;
Harry Potter: A halálfalók felemelkedése;056;;;magyar;igen;igen;2;4;;;;
Harry Potter: Roxforti Csata;057;;;magyar;nem;igen;2;4;;;;
Harry Potter: Roxforti Csata – Bűbájok és Bájitalok;058;Harry Potter: Roxforti Csata;057;magyar;nem;igen;2;5;;;;
Harry Potter: Roxforti Csata – Szörnyek szörnyű könyve;059;Harry Potter: Roxforti Csata;057;magyar;nem;igen;2;4;;;;
ICECOOL2;060;;;angol;igen;igen;2;4;;;;
Ide a szfinxet;061;;;magyar;nem;igen;2;6;;Novoplast;;
Indián nyár;062;;;magyar;igen;igen;1;4;;;;
Jungle Speed;063;;;magyar;igen;igen;2;10;;;;
Kapocsváros;064;;;magyar;igen;igen;2;6;;;;
Kartográfusok;065;;;magyar;igen;igen;1;100;;;;
Kartográfusok: A felfedezések kora térképcsomag;066;Kartográfusok;065;magyar;igen;igen;1;100;;;;
Kartográfusok: Affril térképcsomag – A tudás síkja;067;Kartográfusok;065;magyar;igen;igen;1;100;;;;
Kartográfusok: Fagyvidék térképcsomag – A fagyóriások birodalma;068;Kartográfusok;065;magyar;igen;igen;1;100;;;;
Kartográfusok: Földmélye térképcsomag – Sabek járatai;069;Kartográfusok;065;magyar;igen;igen;1;100;;;;
Kartográfusok: Hősök;070;;;magyar;igen;igen;1;100;;;;
Kartográfusok: Kethra sztyeppéje térképcsomag – Rőtagyar & Aranybendő;071;Kartográfusok;065;magyar;igen;igen;1;100;;;;
Kartográfusok: Kürtszurdok térképcsomag - A pusztaság piaca;072;Kartográfusok;065;magyar;igen;igen;1;100;;;;
Kartográfusok: Nebblis térképcsomag – A láng síkja;073;Kartográfusok;065;magyar;igen;igen;1;100;;;;
Kérdezz! Felelek Gyerekeknek;074;;;magyar;nem;igen;2;6;;;;
Királyi áru: Big Box;075;;;magyar;igen;igen;1;4;;;;
Klank! – Katakombák;076;;;magyar;nem;igen;2;4;;Reflexshop;;
Klask;077;;;magyar;igen;igen;2;2;;Reflexshop;;
Kockanári;078;;;magyar;igen;igen;2;5;;Reflexshop;;
Kubb;079;;;angol;igen;igen;2;10;;Bex;;
KuZOOkA;080;;;angol;nem;igen;2;6;;;;
Kütyük;081;;;magyar;igen;igen;2;4;;Delta Vision;;
