Társasjáték neve;Társasjáték ID;Az alapjáték, ha kiegészítő lenne;Az alapjáték iD-ja;A Játék nyelve;A játék nyelvüggetlen;Van hozzá magyar szabály;Minimális játékosszám;Maximális játékosszám;Kiadás éve;Kiadó;Megjegyzés;Szerző
Catan telepesei;001;;;magyar;igen;igen;3;4;;;;
Star Wars: Kígyók és létrák;002;;;magyar;igen;igen;2;4;;;;
Sorban állás;003;;;magyar;nem;igen;2;5;;;;
Rizikó: A világ meghódítása;004;;;magyar;igen;igen;2;6;;;;
Betűtorony;005;;;magyar;igen;igen;2;4;;;;
Ego;006;;;magyar;nem;igen;2;6;;;;
Concept;007;;;magyar;nem;igen;4;12;;;;
Ticket to Ride: Európa;008;;;magyar;igen;igen;2;5;;;;
Inquizitor;009;;;magyar;nem;igen;2;36;;;;
66 Klasszikus társasjáték;010;;;magyar;igen;igen;2;4;;;;
Monopoly;011;;;magyar;igen;igen;2;8;;;;
Gazdálkodj okosan!;012;;;magyar;igen;igen;2;5;;;;
The Mind;013;;;magyar;igen;igen;2;4;;;;
Arborétum;014;;;magyar;igen;igen;2;4;;;;
Solo;015;;;magyar;igen;igen;2;10;;;;
