Társasjáték neve,Társasjáték ID,Alapjáték?,"Az alapjáték, ha kiegészítő lenne",Az alapjáték iD-ja,A Játék nyelve,A játék nyelvüggetlen,Van hozzá magyar szabály,Minimális játékosszám,Maximális játékosszám,Kiadás éve,Kiadó,Megjegyzés,Szerző
tarsasjatekNev,tarsasjatekID,alapjatek,alapjatekNev,alapjatekID,jatekNyelv,nyelvfuggetlen,magyarJatekszabaly,minJatekos,maxJatekos,kiadasEv,kiado,megjegyzes,szerzo
A Feast for Odin,001,igen,,,angol,nem,igen,1,4,,,,Uwe Rosenberg
"A Feast for Odin: Lofoten, Orkney, and Tierra del Fuego",002,nem,A Feast for Odin,001,angol,igen,nem,,,,,,
A Feast for Odin: Mini Expansion #2,003,nem,A Feast for Odin,001,angol,igen,nem,,,,,,
A Feast for Odin: The Norwegians,004,nem,A Feast for Odin,001,angol,nem,igen,1,4,,,,
A Gyűrűk Ura – A Gyűrű szövetsége,005,igen,,,magyar,nem,igen,1,4,2025,Gémklub,,
A Gyűrűk Ura – A két torony,006,igen,,,magyar,nem,igen,1,4,,Gémklub,,
A Gyűrűk Ura – A Szövetség útja,007,igen,,,magyar,nem,igen,1,5,,Gémklub,,Matt Leacock
A Gyűrűk Ura – A Szövetség útja : Fehér Gandalf,008,nem,A Gyűrűk Ura – A Szövetség útja,007,angol,nem,nem,1,5,,,,
A Mars terraformálása,009,igen,,,magyar,nem,igen,1,5,,Reflexshop,,
A Mars terraformálása: A kezdetek 2,010,nem,A Mars terraformálása,009,magyar,nem,igen,1,5,,Reflexshop,,
A Mars terraformálása: Automa,011,nem,A Mars terraformálása,009,magyar,nem,igen,1,5,,Reflexshop,,
A Mars terraformálása: Hatalmi játszma,012,nem,A Mars terraformálása,009,magyar,nem,igen,1,5,,Reflexshop,,
A Mars terraformálása: Hatalmi játszma promo,013,nem,,,magyar,nem,igen,1,5,,,,
A Mars terraformálása: Hellas & Elysium ,014,nem,A Mars terraformálása,009,magyar,igen,igen,1,5,,Reflexshop,,
A Mars terraformálása: Következő állomás: Vénusz,015,nem,A Mars terraformálása,009,magyar,nem,igen,1,5,,Reflexshop,,
A Mars terraformálása: Távoli Gyarmatok,016,nem,A Mars terraformálása,009,magyar,nem,igen,1,5,,Reflexshop,,
A Nyugati királyság építőmesterei,017,igen,,,magyar,igen,igen,1,5,,,,
A Nyugati királyság építőmesterei: A kézművesek kora,018,nem,A Nyugati királyság építőmesterei,017,magyar,igen,igen,1,6,,,,
A Nyugati királyság építőmesterei: Mesterművek kiegészítő,019,nem,A Nyugati királyság építőmesterei,017,magyar,igen,igen,1,5,,,,
A vörös katedrális,020,igen,,,magyar,igen,igen,1,4,,,,
Alhambra,021,igen,,,magyar,igen,igen,2,6,,,,
Asztali Curling,022,igen,,,német,igen,igen,,,,,,
Atlantis,023,igen,,,magyar,igen,igen,2,4,,,,
Axio,024,igen,,,magyar,igen,igen,1,4,,,,
Az Erdő,025,igen,,,magyar,nem,igen,2,5,2023,Gémklub,,
Az Erdő: Alpok,026,nem,Az Erdő,025,magyar,nem,igen,2,5,,Gémklub,,
Az Erdő: Cserjék,027,nem,Az Erdő,025,magyar,nem,igen,2,5,,Gémklub,,
Az Erdő: Felfedezés,028,nem,Az Erdő,025,magyar,nem,igen,1,5,,Gémklub,,
Az Ezüst-tó kincse,029,igen,,,magyar,igen,igen,2,6,2016,,,
Azul,030,igen,,,magyar,igen,igen,2,4,,,,
Bacjgammon fa,031,igen,,,angol,igen,igen,2,2,,,,
Bandido,032,igen,,,magyar,igen,igen,1,4,,,Hiányos?,
Beans Boom BANG!,033,igen,,,német,nem,nem,3,4,2021,,,
Blood Rage,034,igen,,,magyar,nem,igen,2,4,,,,
Blood Rage: 5. játékos kiegészítő,035,nem,Blood Rage,034,magyar,nem,igen,2,5,,,,
Blood Rage: Asgard istenei,036,nem,Blood Rage,034,magyar,nem,igen,2,5,,,,
Blood Rage: Midgard sámánjai,037,nem,Blood Rage,034,magyar,nem,igen,2,5,,,,
BSTH francia kártya 2x,038,igen,,,magyar,igen,igen,,,,,,
Bűnügyi krónikák,039,igen,,,magyar,igen,igen,1,4,,,,
Carcassonne: Jubileumi kiadás,040,igen,,,magyar,igen,igen,2,5,,,,
Carpe Diem,041,igen,,,angol,igen,nem,2,4,,,,
Cat Lady,042,igen,,,magyar,igen,igen,2,4,,Reflexshop,,Josh Wood
Cat Lady – Boldogságdoboz,043,nem,Cat Lady,042,magyar,igen,igen,1,6,,Reflexshop,,Josh Wood
Celtica,044,igen,,,német,igen,igen,2,5,,,,
Cicaharc: Állati csetepaté,045,igen,,,magyar,igen,igen,2,6,,,,
Claim Anniversary Edition,046,igen,,,angol,igen,igen,2,4,,,,
Claim Erősítés - Jég,047,nem,Claim Anniversary Edition,046,magyar,igen,igen,2,,,,,
Claim Erősítés – Félelem,048,nem,Claim Anniversary Edition,046,magyar,igen,igen,2,,,,,
Codex Naturalis,049,igen,,,angol,igen,nem,2,4,,,,
Cryptid,050,igen,,,magyar,nem,igen,3,5,,,,
Dorfromantik: A társasjáték,051,igen,,,magyar,nem,igen,1,3,,,,
Dr. Gomb,052,igen,,,magyar,igen,igen,2,5,,Vagabund,,
Egy királyság krónikája,053,igen,,,magyar,nem,igen,1,1,,,,
Ein lustiges Wettspiel,054,igen,,,német,igen,nem,2,6,,,,
Eldorádó legendája,055,igen,,,magyar,igen,igen,2,4,,,,
Eldorádó legendája: A tűzokádók völgye,056,nem,Eldorádó legendája,055,magyar,igen,igen,2,4,,,,
Eldorádó legendája: Hősök és átkok,057,nem,Eldorádó legendája,055,magyar,igen,igen,2,4,,,,
Eldorádó legendája: Veszély a láthatáron,058,nem,Eldorádó legendája,055,magyar,igen,igen,2,4,,,,
Elveszett kincsek tengere,059,igen,,,magyar,igen,igen,2,4,,,,
Elvetemült veteményes – Articsókák a pácban,060,igen,,,magyar,igen,igen,2,4,,Reflexshop,,Emma Larkins
Explorers of the North Sea,061,igen,,,angol,nem,igen,1,4,,,,
Explorers of the North Sea: Rocks of Ruin,062,nem,Explorers of the North Sea,061,angol,nem,igen,1,5,,,,
Fa Domino,063,igen,,,magyar,igen,igen,1,4,,Jumbo,,
FITS,064,igen,,,német,igen,igen,1,4,,,,
Gäia,065,igen,,,német,igen,igen,2,5,,,,
Ganz Schön Clever – Egy okos húzás,066,igen,,,magyar,igen,igen,1,4,,Schmidt,,Wolfgang Warsch
Grillparti,067,igen,,,magyar,igen,igen,2,6,,Reflexshop,,
Gyémántvadászok,068,igen,,,magyar,igen,igen,3,8,,,,
Gyümi,069,igen,,,magyar,igen,igen,1,6,,Vagabund,,
Hadrianus Fala,070,igen,,,magyar,nem,igen,1,6,,,,
