Társasjáték neve;Társasjáték ID;Alapjáték?;Az alapjáték, ha kiegészítő lenne;Az alapjáték iD-ja;A Játék nyelve;A játék nyelvüggetlen;Van hozzá magyar szabály;Minimális játékosszám;Maximális játékosszám;Kiadás éve;Kiadó;Megjegyzés;Szerző
tarsasjatekNev;tarsasjatekID;alapjatek;alapjatekNev;alapjatekID;jatekNyelv;nyelvfuggetlen;magyarJatekszabaly;minJatekos;maxJatekos;kiadasEv;kiado;megjegyzes;szerzo
Catan telepesei;001;igen;;;magyar;igen;igen;3;4;;;;
Star Wars: Kígyók és létrák;002;igen;;;magyar;igen;igen;2;4;;;;
Sorban állás;003;igen;;;magyar;nem;igen;2;5;;;;
Rizikó: A világ meghódítása;004;igen;;;magyar;igen;igen;2;6;;;;
Betűtorony;005;igen;;;magyar;igen;igen;2;4;;;;
Ego;006;igen;;;magyar;nem;igen;2;6;;;;
Concept;007;igen;;;magyar;nem;igen;4;12;;;;
Ticket to Ride: Európa;008;igen;;;magyar;igen;igen;2;5;;;;
Inquizitor;009;igen;;;magyar;nem;igen;2;36;;;;
66 Klasszikus társasjáték;010;igen;;;magyar;igen;igen;2;4;;;;
Monopoly;011;igen;;;magyar;igen;igen;2;8;;;;
Gazdálkodj okosan!;012;igen;;;magyar;igen;igen;2;5;;;;
The Mind;013;igen;;;magyar;igen;igen;2;4;;;;
Arborétum;014;igen;;;magyar;igen;igen;2;4;;;;
Solo;015;igen;;;magyar;igen;igen;2;10;;;;
